"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2","yPlus"
0.31200001,0,0.0049999999,0,0,0,0.31200001,1.6476851,3.7169702e-05,5281.0547,1.1993799,-0.49822348,-0.00050311402,0,76.097351
0.31400001,0,0.0049999999,0,0,0,0.31400001,1.6449449,3.71364e-05,5276.665,1.19409,-0.49738801,-0.00049783604,0,76.03405
0.31600001,0,0.0049999999,0,0,0,0.31600001,1.64223,3.71034e-05,5272.3101,1.18882,-0.49656099,-0.00049261097,0,75.971252
0.31799999,0,0.0049999999,0,0,0,0.31799999,1.639545,3.7070698e-05,5268,1.183575,-0.4957425,-0.00048743899,0,75.909103
0.31999999,0,0.0049999999,0,0,0,0.31999999,1.6368901,3.7038299e-05,5263.7349,1.17835,-0.494932,-0.00048271101,0,75.847649
0.322,0,0.0049999999,0,0,0,0.322,1.6342649,3.7006248e-05,5259.5049,1.1731451,-0.49412799,-0.000478034,0,75.786804
0.324,0,0.0049999999,0,0,0,0.324,1.631665,3.6974499e-05,5255.3203,1.1679649,-0.493332,-0.00047262351,0,75.726456
0.32600001,0,0.0049999999,0,0,0,0.32600001,1.6290901,3.6943049e-05,5251.1748,1.1628001,-0.49254599,-0.00046726252,0,75.666702
0.32800001,0,0.0049999999,0,0,0,0.32800001,1.626545,3.6911901e-05,5247.0698,1.157655,-0.49176848,-0.00046273251,0,75.607605
0.33000001,0,0.0049999999,0,0,0,0.33000001,1.624025,3.6881051e-05,5243.0049,1.152535,-0.49099702,-0.00045864051,0,75.548996
0.33199999,0,0.0049999999,0,0,0,0.33199999,1.6215301,3.6850499e-05,5238.9751,1.1474299,-0.49023101,-0.00045420352,0,75.490952
0.33399999,0,0.0049999999,0,0,0,0.33399999,1.619065,3.6820249e-05,5234.9854,1.142345,-0.48947352,-0.0004490315,0,75.433548
0.336,0,0.0049999999,0,0,0,0.336,1.6166251,3.6790247e-05,5231.0352,1.13728,-0.48872551,-0.000444295,0,75.376648
0.338,0,0.0049999999,0,0,0,0.338,1.614205,3.676055e-05,5227.125,1.13223,-0.48798299,-0.00044038252,0,75.320198
0.34,0,0.0049999999,0,0,0,0.34,1.61181,3.6731151e-05,5223.25,1.1272,-0.48724651,-0.00043573399,0,75.264351
0.34200001,0,0.0049999999,0,0,0,0.34200001,1.6094451,3.6702e-05,5219.4102,1.12219,-0.48651999,-0.00043112849,0,75.209106
0.34400001,0,0.0049999999,0,0,0,0.34400001,1.6071,3.6673147e-05,5215.6104,1.1171999,-0.48579901,-0.000427344,0,75.154251
0.34599999,0,0.0049999999,0,0,0,0.34599999,1.60478,3.6644549e-05,5211.8452,1.1122301,-0.48508298,-0.00042282249,0,75.099998
0.34799999,0,0.0049999999,0,0,0,0.34799999,1.6024849,3.6616198e-05,5208.1152,1.107275,-0.48437703,-0.00041834149,0,75.046295
0.34999999,0,0.0049999999,0,0,0,0.34999999,1.60021,3.658815e-05,5204.4199,1.102335,-0.48367649,-0.00041429049,0,74.992996
0.352,0,0.0049999999,0,0,0,0.352,1.59796,3.6560348e-05,5200.7549,1.097415,-0.4829835,-0.00040989101,0,74.940247
0.354,0,0.0049999999,0,0,0,0.354,1.5957301,3.6532801e-05,5197.125,1.092515,-0.48229802,-0.000406306,0,74.887955
0.35600001,0,0.0049999999,0,0,0,0.35600001,1.5935249,3.6505502e-05,5193.5352,1.08763,-0.48161548,-0.00040275999,0,74.836197
0.35800001,0,0.0049999999,0,0,0,0.35800001,1.5913401,3.647845e-05,5189.9751,1.0827651,-0.48094049,-0.00039847702,0,74.784897
0.36000001,0,0.0049999999,0,0,0,0.36000001,1.589175,3.6451653e-05,5186.4453,1.077915,-0.4802725,-0.00039461849,0,74.734001
0.36199999,0,0.0049999999,0,0,0,0.36199999,1.5870349,3.6425052e-05,5182.9502,1.0730801,-0.47960901,-0.0003907975,0,74.683655
0.36399999,0,0.0049999999,0,0,0,0.36399999,1.584915,3.6398698e-05,5179.4902,1.068265,-0.478953,-0.00038662649,0,74.633751
0.366,0,0.0049999999,0,0,0,0.366,1.5828149,3.637265e-05,5176.0601,1.06346,-0.47830498,-0.0003828785,0,74.584305
0.368,0,0.0049999999,0,0,0,0.368,1.580735,3.634685e-05,5172.6602,1.0586751,-0.4776625,-0.00037955301,0,74.535301
0.37,0,0.0049999999,0,0,0,0.37,1.57868,3.6321249e-05,5169.29,1.05391,-0.4770245,-0.00037587649,0,74.486801
0.37200001,0,0.0049999999,0,0,0,0.37200001,1.5766449,3.6295849e-05,5165.9502,1.049155,-0.47639298,-0.0003722345,0,74.438751
0.37400001,0,0.0049999999,0,0,0,0.37400001,1.574625,3.62707e-05,5162.6401,1.044415,-0.47576648,-0.000369013,0,74.391052
0.37599999,0,0.0049999999,0,0,0,0.37599999,1.5726249,3.624575e-05,5159.3604,1.039695,-0.47514451,-0.00036544001,0,74.343796
0.37799999,0,0.0049999999,0,0,0,0.37799999,1.570645,3.6221001e-05,5156.1152,1.0349901,-0.4745295,-0.0003615155,0,74.296997
0.38,0,0.0049999999,0,0,0,0.38,1.56868,3.6196499e-05,5152.895,1.0302999,-0.47392151,-0.00035800948,0,74.250504
0.382,0,0.0049999999,0,0,0,0.382,1.566735,3.6172249e-05,5149.7002,1.025625,-0.47331852,-0.0003549215,0,74.204453
0.384,0,0.0049999999,0,0,0,0.384,1.56481,3.6148202e-05,5146.5352,1.0209601,-0.47272,-0.0003518665,0,74.158852
0.38600001,0,0.0049999999,0,0,0,0.38600001,1.5629051,3.6124351e-05,5143.3999,1.016315,-0.47212601,-0.00034884352,0,74.113701
0.38800001,0,0.0049999999,0,0,0,0.38800001,1.56102,3.6100697e-05,5140.29,1.011685,-0.47153699,-0.000345468,0,74.069
0.38999999,0,0.0049999999,0,0,0,0.38999999,1.559145,3.607725e-05,5137.2051,1.0070651,-0.47095451,-0.00034212403,0,74.024498
0.39199999,0,0.0049999999,0,0,0,0.39199999,1.5572901,3.6054e-05,5134.1499,1.002465,-0.47037649,-0.00033881149,0,73.980453
0.39399999,0,0.0049999999,0,0,0,0.39399999,1.555455,3.603095e-05,5131.1201,0.99787796,-0.46980551,-0.00033553,0,73.936852
