"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0.43200001,0,0.0049999999,0,0,0,0.43200001,0.000305158,-0.00017727699,-5.3331853e-08,0
0.43399999,0,0.0049999999,0,0,0,0.43399999,0.000303193,-0.00017684849,-5.296155e-08,0
0.43599999,0,0.0049999999,0,0,0,0.43599999,0.00030123699,-0.000176423,-5.2584397e-08,0
0.43799999,0,0.0049999999,0,0,0,0.43799999,0.00029928947,-0.0001760005,-5.221705e-08,0
0.44,0,0.0049999999,0,0,0,0.44,0.00029735049,-0.0001755815,-5.1859502e-08,0
0.442,0,0.0049999999,0,0,0,0.442,0.00029542,-0.000175165,-5.1503399e-08,0
0.44400001,0,0.0049999999,0,0,0,0.44400001,0.00029349799,-0.000174751,-5.1157102e-08,0
0.44600001,0,0.0049999999,0,0,0,0.44600001,0.00029158453,-0.0001743405,-5.0812201e-08,0
0.44800001,0,0.0049999999,0,0,0,0.44800001,0.0002896795,-0.00017393249,-5.0460351e-08,0
0.44999999,0,0.0049999999,0,0,0,0.44999999,0.00028778252,-0.00017352699,-5.0118253e-08,0
0.45199999,0,0.0049999999,0,0,0,0.45199999,0.0002858935,-0.0001731245,-4.97858e-08,0
0.454,0,0.0049999999,0,0,0,0.454,0.00028401299,-0.00017272451,-4.9454698e-08,0
0.456,0,0.0049999999,0,0,0,0.456,0.000282141,-0.00017232701,-4.9124949e-08,0
0.458,0,0.0049999999,0,0,0,0.458,0.00028027699,-0.00017193251,-4.88048e-08,0
0.46000001,0,0.0049999999,0,0,0,0.46000001,0.00027842101,-0.00017154051,-4.849425e-08,0
0.46200001,0,0.0049999999,0,0,0,0.46200001,0.000276573,-0.00017115101,-4.8176652e-08,0
0.46399999,0,0.0049999999,0,0,0,0.46399999,0.000274733,-0.000170764,-4.7851898e-08,0
0.46599999,0,0.0049999999,0,0,0,0.46599999,0.000272901,-0.0001703795,-4.7536702e-08,0
0.46799999,0,0.0049999999,0,0,0,0.46799999,0.00027107698,-0.00016999801,-4.7231001e-08,0
0.47,0,0.0049999999,0,0,0,0.47,0.00026926101,-0.000169619,-4.6934751e-08,0
0.472,0,0.0049999999,0,0,0,0.472,0.0002674525,-0.00016924151,-4.6639698e-08,0
0.47400001,0,0.0049999999,0,0,0,0.47400001,0.00026565199,-0.00016886651,-4.6337398e-08,0
0.47600001,0,0.0049999999,0,0,0,0.47600001,0.00026385952,-0.0001684945,-4.6044498e-08,0
0.47799999,0,0.0049999999,0,0,0,0.47799999,0.00026207452,-0.0001681245,-4.5752699e-08,0
0.47999999,0,0.0049999999,0,0,0,0.47999999,0.00026029701,-0.00016775701,-4.5461949e-08,0
0.48199999,0,0.0049999999,0,0,0,0.48199999,0.000258527,-0.00016739201,-4.5180549e-08,0
0.484,0,0.0049999999,0,0,0,0.484,0.00025676499,-0.00016702901,-4.4900197e-08,0
0.486,0,0.0049999999,0,0,0,0.486,0.0002550105,-0.000166668,-4.4620798e-08,0
0.48800001,0,0.0049999999,0,0,0,0.48800001,0.00025326351,-0.0001663095,-4.43424e-08,0
0.49000001,0,0.0049999999,0,0,0,0.49000001,0.000251524,-0.0001659535,-4.406505e-08,0
0.49200001,0,0.0049999999,0,0,0,0.49200001,0.00024979151,-0.0001655995,-4.3796952e-08,0
0.49399999,0,0.0049999999,0,0,0,0.49399999,0.0002480665,-0.0001652475,-4.3538101e-08,0
0.49599999,0,0.0049999999,0,0,0,0.49599999,0.00024634899,-0.000164898,-4.327185e-08,0
0.498,0,0.0049999999,0,0,0,0.498,0.000244639,-0.0001645505,-4.3006551e-08,0
0.5,0,0.0049999999,0,0,0,0.5,0.0002429365,-0.0001642045,-4.27505e-08,0
0.50199997,0,0.0049999999,0,0,0,0.50199997,0.00024124101,-0.000163861,-4.2495351e-08,0
0.50400001,0,0.0049999999,0,0,0,0.50400001,0.00023955249,-0.00016352,-4.2241098e-08,0
0.50599998,0,0.0049999999,0,0,0,0.50599998,0.00023787099,-0.00016318051,-4.1987697e-08,0
0.50800002,0,0.0049999999,0,0,0,0.50800002,0.000236197,-0.000162843,-4.1735198e-08,0
0.50999999,0,0.0049999999,0,0,0,0.50999999,0.0002345305,-0.000162508,-4.1483602e-08,0
0.51200002,0,0.0049999999,0,0,0,0.51200002,0.0002328705,-0.0001621745,-4.1241151e-08,0
0.514,0,0.0049999999,0,0,0,0.514,0.00023121751,-0.000161843,-4.1007901e-08,0
0.51599997,0,0.0049999999,0,0,0,0.51599997,0.00022957149,-0.00016151351,-4.0767148e-08,0
0.51800001,0,0.0049999999,0,0,0,0.51800001,0.0002279325,-0.00016118601,-4.0527148e-08,0
0.51999998,0,0.0049999999,0,0,0,0.51999998,0.000226301,-0.00016086049,-4.02963e-08,0
0.52200001,0,0.0049999999,0,0,0,0.52200001,0.00022467601,-0.0001605365,-4.0057948e-08,0
0.52399999,0,0.0049999999,0,0,0,0.52399999,0.0002230575,-0.00016021449,-3.9828649e-08,0
0.52600002,0,0.0049999999,0,0,0,0.52600002,0.00022144601,-0.00015989449,-3.9608452e-08,0
0.528,0,0.0049999999,0,0,0,0.528,0.0002198415,-0.00015957651,-3.9372349e-08,0
0.52999997,0,0.0049999999,0,0,0,0.52999997,0.00021824401,-0.0001592605,-3.9145299e-08,0
0.53200001,0,0.0049999999,0,0,0,0.53200001,0.000216653,-0.000158946,-3.8935653e-08,0
0.53399998,0,0.0049999999,0,0,0,0.53399998,0.0002150685,-0.000158633,-3.8718351e-08,0
0.53600001,0,0.0049999999,0,0,0,0.53600001,0.000213491,-0.000158322,-3.84934e-08,0
0.53799999,0,0.0049999999,0,0,0,0.53799999,0.00021192001,-0.0001580125,-3.8277499e-08,0
0.54000002,0,0.0049999999,0,0,0,0.54000002,0.0002103555,-0.00015770449,-3.8070652e-08,0
0.542,0,0.0049999999,0,0,0,0.542,0.0002087975,-0.00015739849,-3.7864449e-08,0
0.54400003,0,0.0049999999,0,0,0,0.54400003,0.000207246,-0.0001570945,-3.7650601e-08,0
0.546,0,0.0049999999,0,0,0,0.546,0.00020570151,-0.000156792,-3.7437399e-08,0
0.54799998,0,0.0049999999,0,0,0,0.54799998,0.00020416299,-0.00015649101,-3.72332e-08,0
0.55000001,0,0.0049999999,0,0,0,0.55000001,0.000202631,-0.00015619199,-3.702965e-08,0
0.55199999,0,0.0049999999,0,0,0,0.55199999,0.00020110601,-0.00015589449,-3.6826748e-08,0
0.55400002,0,0.0049999999,0,0,0,0.55400002,0.000199587,-0.00015559851,-3.6624499e-08,0
0.55599999,0,0.0049999999,0,0,0,0.55599999,0.00019807401,-0.00015530401,-3.6431199e-08,0
0.55800003,0,0.0049999999,0,0,0,0.55800003,0.0001965675,-0.000155011,-3.623855e-08,0
0.56,0,0.0049999999,0,0,0,0.56,0.000195068,-0.00015472001,-3.6038102e-08,0
0.56199998,0,0.0049999999,0,0,0,0.56199998,0.00019357449,-0.0001544305,-3.58466e-08,0
0.56400001,0,0.0049999999,0,0,0,0.56400001,0.000192087,-0.0001541425,-3.5655702e-08,0
0.56599998,0,0.0049999999,0,0,0,0.56599998,0.00019060599,-0.000153856,-3.5456999e-08,0
0.56800002,0,0.0049999999,0,0,0,0.56800002,0.00018913101,-0.000153571,-3.5275548e-08,0
0.56999999,0,0.0049999999,0,0,0,0.56999999,0.00018766199,-0.0001532875,-3.5094651e-08,0
0.57200003,0,0.0049999999,0,0,0,0.57200003,0.0001861995,-0.0001530055,-3.4897599e-08,0
0.574,0,0.0049999999,0,0,0,0.574,0.000184743,-0.000152725,-3.471775e-08,0
0.57599998,0,0.0049999999,0,0,0,0.57599998,0.00018329249,-0.00015244599,-3.4546801e-08,0
0.57800001,0,0.0049999999,0,0,0,0.57800001,0.0001818485,-0.0001521685,-3.4359701e-08,0
0.57999998,0,0.0049999999,0,0,0,0.57999998,0.0001804105,-0.0001518925,-3.4173098e-08,0
0.58200002,0,0.0049999999,0,0,0,0.58200002,0.0001789785,-0.00015161801,-3.4003648e-08,0
0.58399999,0,0.0049999999,0,0,0,0.58399999,0.00017755199,-0.0001513445,-3.3834702e-08,0
0.58600003,0,0.0049999999,0,0,0,0.58600003,0.00017613149,-0.00015107251,-3.3649599e-08,0
0.588,0,0.0049999999,0,0,0,0.588,0.00017471751,-0.0001508025,-3.3473299e-08,0
