"Points:0","Points:1","Points:2","U:0","U:1","U:2","arc_length","k","nut","omega","p","wallShearStress:0","wallShearStress:1","wallShearStress:2"
0.67199999,0,0.0049999999,0,0,0,0.67199999,1e-15,0,158024,0.162561,-0.19062549,-5.0937801e-06,0
0.67400002,0,0.0049999999,0,0,0,0.67400002,1e-15,0,158024,0.1613685,-0.19051349,-5.0660751e-06,0
0.676,0,0.0049999999,0,0,0,0.676,1e-15,0,158024,0.160179,-0.190402,-5.0612098e-06,0
0.67799997,0,0.0049999999,0,0,0,0.67799997,1e-15,0,158024,0.15899101,-0.19029051,-5.047385e-06,0
0.68000001,0,0.0049999999,0,0,0,0.68000001,1e-15,0,158024,0.1578045,-0.1901795,-5.0119797e-06,0
0.68199998,0,0.0049999999,0,0,0,0.68199998,1e-15,0,158024,0.156624,-0.190069,-4.9689752e-06,0
0.68400002,0,0.0049999999,0,0,0,0.68400002,1e-15,0,158024,0.15545049,-0.1899595,-4.9423797e-06,0
0.68599999,0,0.0049999999,0,0,0,0.68599999,1e-15,0,158024,0.15427899,-0.18985,-4.930725e-06,0
0.68800002,0,0.0049999999,0,0,0,0.68800002,1e-15,0,158024,0.153108,-0.18974,-4.9069049e-06,0
0.69,0,0.0049999999,0,0,0,0.69,1e-15,0,158024,0.1519395,-0.189631,-4.8762304e-06,0
0.69199997,0,0.0049999999,0,0,0,0.69199997,1e-15,0,158024,0.1507725,-0.189523,-4.863165e-06,0
0.69400001,0,0.0049999999,0,0,0,0.69400001,1e-15,0,158024,0.1496045,-0.18941501,-4.85396e-06,0
0.69599998,0,0.0049999999,0,0,0,0.69599998,1e-15,0,158024,0.14843601,-0.18930751,-4.8271004e-06,0
0.69800001,0,0.0049999999,0,0,0,0.69800001,1e-15,0,158024,0.14727101,-0.18920049,-4.8048751e-06,0
0.69999999,0,0.0049999999,0,0,0,0.69999999,1e-15,0,158024,0.14610949,-0.1890935,-4.7912349e-06,0
0.70200002,0,0.0049999999,0,0,0,0.70200002,1e-15,0,158024,0.144949,-0.18898749,-4.782115e-06,0
0.704,0,0.0049999999,0,0,0,0.704,1e-15,0,158024,0.14378899,-0.1888815,-4.7758003e-06,0
0.70599997,0,0.0049999999,0,0,0,0.70599997,1e-15,0,158024,0.14263201,-0.18877551,-4.7493504e-06,0
0.708,0,0.0049999999,0,0,0,0.708,1e-15,0,158024,0.14147949,-0.18867099,-4.7209401e-06,0
0.70999998,0,0.0049999999,0,0,0,0.70999998,1e-15,0,158024,0.140329,-0.188567,-4.7071353e-06,0
0.71200001,0,0.0049999999,0,0,0,0.71200001,1e-15,0,158024,0.13918149,-0.188463,-4.690025e-06,0
0.71399999,0,0.0049999999,0,0,0,0.71399999,1e-15,0,158024,0.13804001,-0.18835899,-4.6659352e-06,0
0.71600002,0,0.0049999999,0,0,0,0.71600002,1e-15,0,158024,0.13690451,-0.18825501,-4.6396253e-06,0
0.71799999,0,0.0049999999,0,0,0,0.71799999,1e-15,0,158024,0.1357715,-0.18815151,-4.6109653e-06,0
0.72000003,0,0.0049999999,0,0,0,0.72000003,1e-15,0,158024,0.13464001,-0.1880485,-4.5876104e-06,0
0.722,0,0.0049999999,0,0,0,0.722,1e-15,0,158024,0.13351101,-0.18794599,-4.56513e-06,0
0.72399998,0,0.0049999999,0,0,0,0.72399998,1e-15,0,158024,0.1323835,-0.1878445,-4.5428997e-06,0
0.72600001,0,0.0049999999,0,0,0,0.72600001,1e-15,0,158024,0.131256,-0.18774301,-4.532305e-06,0
0.72799999,0,0.0049999999,0,0,0,0.72799999,1e-15,0,158024,0.13012901,-0.1876415,-4.5225297e-06,0
0.73000002,0,0.0049999999,0,0,0,0.73000002,1e-15,0,158024,0.129005,-0.1875405,-4.500735e-06,0
0.73199999,0,0.0049999999,0,0,0,0.73199999,1e-15,0,158024,0.12788451,-0.18744001,-4.4773601e-06,0
0.73400003,0,0.0049999999,0,0,0,0.73400003,1e-15,0,158024,0.12676549,-0.18733999,-4.4653552e-06,0
0.736,0,0.0049999999,0,0,0,0.736,1e-15,0,158024,0.12564799,-0.1872405,-4.4579347e-06,0
0.73799998,0,0.0049999999,0,0,0,0.73799998,1e-15,0,158024,0.124533,-0.187141,-4.4390949e-06,0
0.74000001,0,0.0049999999,0,0,0,0.74000001,1e-15,0,158024,0.1234215,-0.187042,-4.4164599e-06,0
0.74199998,0,0.0049999999,0,0,0,0.74199998,1e-15,0,158024,0.122313,-0.1869435,-4.4016697e-06,0
0.74400002,0,0.0049999999,0,0,0,0.74400002,1e-15,0,158024,0.12120651,-0.186845,-4.3837254e-06,0
0.74599999,0,0.0049999999,0,0,0,0.74599999,1e-15,0,158024,0.120105,-0.18674651,-4.3506652e-06,0
